               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.044016,            0.026081,                   0,             0.35987,             0.35157,             0.29158,             0.10426,            0.057294,            0.020009,                   0,           0.0081776,           0.0081776,           0.0081776
                  39,            0.043337,            0.025101,                   0,             0.41726,             0.32013,             0.29238,             0.10382,            0.057591,             0.02056,                   0,           0.0081284,           0.0081284,           0.0081284
                  40,            0.043949,            0.025709,                   0,             0.39173,             0.33439,             0.29158,            0.098812,            0.057903,            0.019871,                   0,           0.0080791,           0.0080791,           0.0080791
                  41,             0.04316,            0.025048,                   0,             0.37617,             0.30361,             0.25287,            0.082057,            0.058829,             0.02051,                   0,           0.0080299,           0.0080299,           0.0080299
                  42,            0.042515,            0.025528,                   0,             0.34466,             0.28656,             0.23472,            0.078524,            0.060836,            0.020962,                   0,           0.0079806,           0.0079806,           0.0079806
                  43,            0.042329,            0.025405,                   0,             0.39956,             0.34998,             0.29717,             0.10114,             0.05792,            0.020175,                   0,           0.0079313,           0.0079313,           0.0079313
                  44,            0.041876,            0.025046,                   0,             0.33539,             0.29568,             0.22495,            0.070941,            0.061164,            0.020983,                   0,           0.0078821,           0.0078821,           0.0078821
                  45,            0.041581,            0.024577,                   0,             0.39651,             0.31433,             0.28079,            0.097396,             0.05813,            0.020642,                   0,           0.0078328,           0.0078328,           0.0078328
                  46,            0.041063,            0.024841,                   0,             0.36248,             0.33769,             0.25249,             0.08444,            0.059046,            0.020748,                   0,           0.0077836,           0.0077836,           0.0077836
                  47,            0.040866,            0.024172,                   0,             0.42228,             0.32501,             0.29022,             0.10208,            0.058092,            0.020654,                   0,           0.0077343,           0.0077343,           0.0077343
                  48,            0.040459,            0.024437,                   0,             0.41895,             0.33254,             0.28629,            0.093073,            0.059028,            0.020551,                   0,           0.0076851,           0.0076851,           0.0076851
                  49,             0.04019,            0.023493,                   0,              0.3654,             0.34681,             0.28314,            0.098633,             0.05768,            0.020385,                   0,           0.0076358,           0.0076358,           0.0076358
                  50,            0.040116,            0.023914,                   0,             0.38916,             0.35236,             0.29012,             0.10068,            0.057923,            0.021049,                   0,           0.0075866,           0.0075866,           0.0075866
